#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassI_FULL" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassI_FULL" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassI_FULL" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassI_FULL">
#                <taxonset id="TaxonSet.ClassI_FULL" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassI_FULL" name="distribution" x="@birthRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassI_FULL" name="distribution">
#            <parameter id="gammaShape.s:ClassI_FULL" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassI_FULL" name="distribution" x="@relativeDeathRate2.t:ClassI_FULL">
#            <LogNormal id="LogNormalDistributionModel.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassI_FULL" name="distribution">
#            <parameter id="ucldStdev.c:ClassI_FULL" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassI_FULL" id="treeLikelihood.ClassI_FULL" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassI_FULL">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassI_FULL" shape="@gammaShape.s:ClassI_FULL" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassI_FULL" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassI_FULL" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassI_FULL" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassI_FULL" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassI_FULL">
#                <LogNormal S="@ucldStdev.c:ClassI_FULL" id="LogNormalDistributionModel.c:ClassI_FULL" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="92" id="rateCategories.c:ClassI_FULL" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassI_FULL" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-9460.093204424704	-9468.107670636038	8.014466211333886	-9468.107670636038	3.1542382392807253	1.0	1.0	0.1	1.0367311824912389	0.008734193157648437	0.09236404666857972	11.023478214703093	1.0	0.5
10000	-6392.399376048498	-6355.542155247387	-36.857220801111296	-6355.542155247387	2.124602722403	0.5445650886443533	1.0	0.9195883330266268	0.6969251698012485	0.8959749918622494	0.9306029491142498	-30.354337232179432	1.9085310137250568	0.18100112545337227
20000	-6176.843069616617	-6152.772880532547	-24.07018908406996	-6152.772880532547	1.4422726994892157	0.5621639980279389	1.0	0.8268759887612026	0.7274439817136407	0.667529948952013	0.915488455609011	-18.34994153090966	1.4405386624986702	0.32167986471206533
30000	-6100.037643291677	-6073.5726556824075	-26.464987609269816	-6073.5726556824075	1.1074443630651132	0.5762701410648435	1.0	0.6411318414121091	0.9559365095670664	0.3705217356107018	0.5832258458912958	-21.682709674885718	0.7711809578483342	0.6165803945119759
40000	-6057.814687612494	-6041.76186274655	-16.052824865943606	-6041.76186274655	0.9083205317059021	0.5762701410648435	1.0	0.7106557870639052	0.8565405800120109	0.32905963834973967	0.6124053498538055	-10.48782769349965	1.7815801082338687	0.2756581531469408
50000	-6045.329062905404	-6035.900597369989	-9.428465535414517	-6035.900597369989	0.8079311806162344	0.6732673075845753	1.0	0.49997709086842174	0.8549209996037813	0.209981238958255	0.4948459560603598	-4.136322853863323	2.209557909247583	0.20310617047937793
60000	-6044.498278553829	-6038.128033474501	-6.370245079328351	-6038.128033474501	0.722422355333715	0.6265278923066707	1.0	0.5667899216816614	0.9810160006168939	0.335877560345228	0.5750630375329512	0.578978725644884	2.5194308677030994	0.05714624093721967
70000	-6040.8677503593835	-6025.985211715661	-14.8825386437227	-6025.985211715661	0.809697589439697	0.6470385463853685	1.0	0.5635186487519771	0.9152814889027323	0.3807952464747626	0.6658353024415588	-9.582566819288663	1.9952119703825733	0.2404140501491881
80000	-6027.864044566424	-6009.996038201172	-17.86800636525163	-6009.996038201172	1.0113130983653458	0.6231440703577833	1.0	0.6595041168368749	0.847866352388974	0.2818875077098565	0.595203483118214	-12.09949642775168	1.825242903836442	0.1683167589437972
90000	-6023.242961904902	-6005.31653200257	-17.926429902331307	-6005.31653200257	1.0507633393796225	0.6669973781084289	1.0	0.4560687115709836	0.8619095688340397	0.12888761511074712	0.40468945988222876	-12.892706368105166	2.023949663769322	0.20984712699117386
100000	-6024.480029743553	-6010.376046407667	-14.103983335886163	-6010.376046407667	0.6866541313126285	0.6274355370962884	1.0	0.49928418233435146	1.0251210954043335	0.39715575968916933	0.5906461196044077	-9.266180856819863	1.9530393317233505	0.4062752584492356
110000	-6009.148713546389	-6003.950757189755	-5.197956356634892	-6003.950757189755	0.6225802830408507	0.6398741699159461	1.0	0.38123481409413745	1.0557655597688904	0.25497037404409917	0.4639554789373076	1.872942102301963	2.7347269007663764	0.037076623739797754
120000	-6028.515418684532	-6020.146448179389	-8.368970505143116	-6020.146448179389	0.7740055284719632	0.6762195080470744	1.0	0.3886473649917898	0.972450622694674	0.13115117809160237	0.3653758887875702	-3.966324557045715	1.6882477347106046	0.3620880560128338
130000	-6021.580458752616	-6010.000519154272	-11.579939598344478	-6010.000519154272	0.7969277874579335	0.6840144165442406	1.0	0.5408315231420248	0.9852642067074144	0.42728213132279064	0.622361199517785	-6.028428182675265	2.160632371957264	0.17062856043836613
140000	-6025.975168189961	-6011.145858389047	-14.829309800913448	-6011.145858389047	0.8231050512250471	0.6642755765149834	1.0	0.4688926087051407	0.9581608706839664	0.21628974861633432	0.46892419548760716	-7.429611866950069	2.0442137682525487	0.032346395144655565
