#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ClassII_CUT_withGaps" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="relativeDeathRate2.t:ClassII_CUT_withGaps" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="birthRate2.t:ClassII_CUT_withGaps" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ClassII_CUT_withGaps">
#                <taxonset id="TaxonSet.ClassII_CUT_withGaps" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@birthRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.5" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="GammaShapePrior.s:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="gammaShape.s:ClassII_CUT_withGaps" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="DeathRatePrior.t:ClassII_CUT_withGaps" name="distribution" x="@relativeDeathRate2.t:ClassII_CUT_withGaps">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ClassII_CUT_withGaps" name="distribution">
#            <parameter id="ucldStdev.c:ClassII_CUT_withGaps" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ClassII_CUT_withGaps" id="treeLikelihood.ClassII_CUT_withGaps" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ClassII_CUT_withGaps">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ClassII_CUT_withGaps" shape="@gammaShape.s:ClassII_CUT_withGaps" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ClassII_CUT_withGaps" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ClassII_CUT_withGaps" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:ClassII_CUT_withGaps" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ClassII_CUT_withGaps" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ClassII_CUT_withGaps">
#                <LogNormal S="@ucldStdev.c:ClassII_CUT_withGaps" id="LogNormalDistributionModel.c:ClassII_CUT_withGaps" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="108" id="rateCategories.c:ClassII_CUT_withGaps" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ClassII_CUT_withGaps" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	birthRate2	relativeDeathRate2
0	-15566.186772514851	-15581.924478407384	15.737705892531594	-15581.924478407384	2.03228533188511	1.0	1.0	0.1	0.9676742541004434	0.01160831358266453	0.10625581705586448	18.7467178959008	1.0	0.5
10000	-6945.153027029875	-6916.263613576594	-28.889413453280746	-6916.263613576594	2.296504592412428	0.7975062326437148	1.0	0.7935711789842056	0.8751045748621524	0.4581322036035149	0.7220650489474294	-22.626662069975374	2.139764814944367	0.24277210515230369
20000	-6523.637908843628	-6509.089749232894	-14.548159610734201	-6509.089749232894	1.6398579416042385	0.7975062326437148	1.0	0.44851309411753154	0.9437552272418971	0.15913968017970362	0.41951659973448646	-9.494957017382578	1.8435839435746848	0.21339303802224122
30000	-6520.877682684606	-6498.957031076644	-21.920651607962117	-6498.957031076644	1.9107018832341236	0.7840421638653821	1.0	0.5832635223846665	0.8704901587701761	0.33378019649076224	0.5769599814242294	-16.56905670065622	1.4697238730835078	0.21616304332359348
40000	-6548.073015058547	-6520.627199587485	-27.445815471062215	-6520.627199587485	2.6224736902756924	0.7493011657629909	1.0	0.49928525314276606	0.912253820080226	0.21597953659772234	0.4565562210237533	-22.397556644473575	1.5778451922841346	0.22403790995556663
50000	-6553.011417013705	-6514.827984492276	-38.18343252142867	-6514.827984492276	2.4393785027391077	0.7493011657629909	1.0	0.49128323824622844	0.8472119293541008	0.23952989420921014	0.5156079478372573	-33.25706313177399	1.1598057447309122	0.1985445716879782
60000	-6526.592156782851	-6510.490256912158	-16.101899870693433	-6510.490256912158	2.3000819120978675	0.7342319659243999	1.0	0.557532973287472	0.9460473622342668	0.3737697245221037	0.5821864167337958	-9.936246406246196	1.67962970815733	0.08447270985593887
70000	-6529.091780063452	-6512.3954793969	-16.696300666552034	-6512.3954793969	1.6273353660659235	0.7342319659243999	1.0	0.6022174573987872	0.9718127789574161	0.45219253481304583	0.6690751819618483	-10.997674314215125	2.4029849452323084	0.2323039866788952
80000	-6517.760569051887	-6503.8653771696445	-13.895191882242536	-6503.8653771696445	1.7733194431310495	0.7024282796238918	1.0	0.5979236093049776	0.9754129276868777	0.4836512912113124	0.6651803599347597	-6.920533586454724	2.159436810335062	0.05783263481723081
90000	-6537.242077004766	-6507.288752051238	-29.95332495352755	-6507.288752051238	2.5631747462990773	0.6936956139355599	1.0	0.6534215725698125	0.8552862630673287	0.34484108800130125	0.6204921992770842	-24.766729334376002	1.3083628547160795	0.37478771996825344
100000	-6544.745179241301	-6516.334584653031	-28.410594588270218	-6516.334584653031	2.3999894249775293	0.675156840730026	1.0	0.5372600416710279	0.9358084539403324	0.35478249979228277	0.5972112700620692	-22.966982085704963	1.6726847484769563	0.1489521221064881
110000	-6545.5384921311215	-6518.163991358873	-27.37450077224799	-6518.163991358873	1.9213195790379471	0.675156840730026	1.0	0.6319733984742378	0.8338154176348056	0.46538343573613783	0.7375643845174332	-21.777793352180336	1.7148068619073382	0.18918371863584785
120000	-6542.817041773344	-6503.64883389286	-39.16820788048313	-6503.64883389286	2.3975195617406175	0.7343044679646261	1.0	0.7229614287196421	0.8603188981228033	0.7787842908074586	0.8966142636517374	-33.45391193443199	1.6592675107962285	0.2748236184559511
130000	-6548.267052025355	-6513.641757511208	-34.62529451414684	-6513.641757511208	2.344528456539188	0.682490945973569	1.0	0.5122878387996024	0.9671444438998824	0.26830900834901494	0.5398525808738737	-30.048120492890035	1.0648690141476282	0.408356206986527
140000	-6563.461572086304	-6538.664978525703	-24.796593560601092	-6538.664978525703	2.1853481013361526	0.6408283670206639	1.0	0.4350172005951206	1.0121060057116098	0.2556828091545096	0.47815533925933773	-19.927881799410677	2.110250306753033	0.24731817448921606
150000	-6541.4211995025635	-6526.080088076158	-15.341111426405657	-6526.080088076158	1.7427901843107088	0.7117630163044963	1.0	0.539256012118915	1.0110499299580336	0.3642551064059817	0.5880914413248384	-9.242797277492258	2.4874674170279265	0.11025586310319167
