#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:His" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:His" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:His" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:His" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:His">
#                    <taxonset id="TaxonSet.His" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:His" jeffreys="true" parameter="@bPopSizes.t:His" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:His" name="distribution">
#            <parameter id="gammaShape.s:His" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:His" name="distribution">
#            <parameter id="ucldStdev.c:His" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@His" id="treeLikelihood.His" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:His">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:His" shape="@gammaShape.s:His" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:His" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:His" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:His" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:His" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:His">
#                <LogNormal S="@ucldStdev.c:His" id="LogNormalDistributionModel.c:His" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="112" id="rateCategories.c:His" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:His" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-16356.801661654714	-15990.10900856705	-366.69265308766535	-15990.10900856705	1.4425448841773088	1.0	1.0	0.1	1.0205140457971351	0.009960188716963856	0.0989918757109447	-332.811160969184	380.0	380.0	380.0	380.0	380.0	12	11	12	10	11
10000	-8028.115470131642	-7857.991792321431	-170.12367781021072	-7857.991792321431	1.7795760302220784	0.8294498165499882	1.0	0.6818185169673951	0.8713893593488282	0.3409513343511041	0.6428290193150834	-153.05062379767062	29.671535717563344	13.14398056871264	3.096557247125648	4.5291337191829895	2.3430848065678624	11	7	8	14	16
20000	-7810.592831169522	-7651.121613566074	-159.47121760344734	-7651.121613566074	1.3620459391014976	0.7185991743592699	1.0	0.36014962248541676	0.9976553722060912	0.12118879492295764	0.3423864878933514	-141.70843160523842	17.30010484413618	26.485392588447706	9.760733055953892	9.989089717405115	1.115517366904722	20	1	11	1	23
30000	-7801.379811631784	-7644.900204462274	-156.47960716950968	-7644.900204462274	1.2178330721667998	0.7360794034616559	1.0	0.19756309532708874	1.0022268809755583	0.032120777998615006	0.17941563991726794	-141.2286784408802	11.505493979428188	11.467313100317615	17.729775767263806	5.019675933556373	0.6304075548627895	10	19	1	12	14
40000	-7805.874648960042	-7642.142624757819	-163.7320242022226	-7642.142624757819	1.2181229386116466	0.7573968854297878	1.0	0.2633820345264141	0.9925679013011439	0.08557340994120999	0.29094139054162277	-144.13845601219407	23.955598084178476	35.36323440341636	47.2480854133413	6.421399429109809	1.287763685658396	3	4	4	26	19
50000	-7812.927559140017	-7660.073325567019	-152.85423357299794	-7660.073325567019	1.169316115826036	0.7462563490183699	1.0	0.13578863172659875	1.0032235864622663	0.024608397547575094	0.1554634877513721	-139.40002835443195	16.60244929659982	8.996940475223967	10.997679762025495	1.3109221666540807	1.21242820842213	13	16	5	9	13
60000	-7799.478194262902	-7652.89270405983	-146.5854902030722	-7652.89270405983	1.057552100588066	0.7462563490183699	1.0	0.18444929078986425	0.9591110112986518	0.032771085766866395	0.18720318174250739	-132.3660099612383	24.299834974556706	27.756997856822267	7.967562326088997	1.2780733517861427	0.22329572376619994	5	5	20	23	3
70000	-7804.695718654255	-7650.688902355573	-154.0068162986815	-7650.688902355573	1.2782897061863583	0.7462563490183699	1.0	0.1362619016873277	0.9866201441644171	0.020775036071170587	0.14457583887172304	-141.6303085391549	24.216221916342317	17.7241480441856	5.297045624460561	0.7638445890810702	0.29828603098569495	8	19	8	19	2
80000	-7776.292944762483	-7628.092378493053	-148.20056626943048	-7628.092378493053	1.081134212339071	0.7108861203674272	1.0	0.2533061073697062	1.0251779948366178	0.07218475379335076	0.26655357379464345	-137.26318328184635	15.313462591795433	7.906185273495841	3.270555455563761	1.175278370715185	0.06538728012209152	14	15	11	13	3
90000	-7773.999946197378	-7636.133089522478	-137.8668566749002	-7636.133089522478	1.160810248194778	0.7658292483415544	1.0	0.2709100330415691	1.037415562677359	0.08890114490474149	0.2854853654868868	-127.36598993676195	23.908654211433966	5.739169205366872	2.1940337606165152	0.3114836159088326	0.36399967413207474	9	28	7	8	4
